,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
0,SOL,USDT,Binance,,,,211.4790496826172,211.13096618652344,1,2021-12-03 22:55:19.467,2021-12-03 22:55:21.576,211.29000000,3.50000000,211.30000000,27.68000000,0.0,0.0,0.0,0.0
1,SOL,USDT,FTX,,,,211.91957549999998,211.6454365,1,2021-12-03 22:55:19.467,2021-12-03 22:55:21.576,211.22,4.92,211.2475,20.82,0.0,0.0,0.0,0.0
2,SOL,USDT,Binance,,,,211.3589630126953,210.89114379882812,2,2021-12-03 23:01:30.223,2021-12-03 23:01:32.127,211.21000000,9.28000000,211.22000000,8.42000000,0.0,0.0,0.0,0.0
3,SOL,USDT,Kucoin,,,,211.95074462890625,211.49429321289062,2,2021-12-03 23:01:30.223,2021-12-03 23:01:32.127,211.108,20.38,211.265,3.4045,0.0,0.0,0.0,0.0
4,SOL,USDT,Binance,,,,211.36895751953125,211.0210418701172,3,2021-12-03 23:01:43.158,2021-12-03 23:01:44.862,211.10000000,0.68000000,211.17000000,1.00000000,0.0,0.0,0.0,0.0
5,SOL,BTC,FTX,BTC,USDT,FTX,212.0865549956208,211.37384791598095,3,2021-12-03 23:01:43.158,2021-12-03 23:01:44.862,0.003946,0.04,0.003949,28.41,53482.0,0.0409,53485.0,0.9344
6,SOL,USDT,Binance,,,,211.87937927246094,211.4806671142578,4,2021-12-03 23:08:39.114,2021-12-03 23:08:40.797,211.61000000,7.38000000,211.69000000,1.00000000,0.0,0.0,0.0,0.0
7,SOL,USDT,FTX,,,,212.232263,211.8802955,4,2021-12-03 23:08:39.114,2021-12-03 23:08:40.797,211.6075,7.56,211.6125,10.26,0.0,0.0,0.0,0.0
8,SOL,USDT,FTX,,,,211.301705,210.963346,5,2021-12-03 23:12:42.677,2021-12-03 23:12:44.822,211.5125,4.89,211.5825,6.32,0.0,0.0,0.0,0.0
9,SOL,USDT,Binance,,,,211.769287109375,211.3507843017578,5,2021-12-03 23:12:42.677,2021-12-03 23:12:44.822,211.52000000,11.77000000,211.57000000,4.44000000,0.0,0.0,0.0,0.0
10,SOL,USDT,Binance,,,,212.0194854736328,211.6205596923828,6,2021-12-03 23:16:22.623,2021-12-03 23:16:24.793,211.76000000,0.23000000,211.80000000,16.65000000,0.0,0.0,0.0,0.0
11,SOL,USDT,FTX,,,,212.47741,212.092668,6,2021-12-03 23:16:22.623,2021-12-03 23:16:24.793,211.6675,0.07,211.765,3.32,0.0,0.0,0.0,0.0
12,SOL,USDT,FTX,,,,212.6650225,212.3300255,7,2021-12-03 23:19:14.935,2021-12-03 23:19:16.801,212.825,0.94,212.8425,7.56,0.0,0.0,0.0,0.0
